index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url
158,westwood,Westwood Primary School,https://sgschooling.com/img/logo/westwood.jpg,Jurong West,1 Jurong West Street 73 S649188,649188,http://www.westwoodpri.moe.edu.sg,,false,false,false,false,,Westwood Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=westwood-primary-school
159,white-sands,White Sands Primary School,https://sgschooling.com/img/logo/white-sands.jpg,Pasir Ris,2 Pasir Ris St 11 S519075,519075,http://www.whitesandspri.moe.edu.sg,,false,false,false,false,,White Sands Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=white-sands-primary-school
160,woodgrove,Woodgrove Primary School,https://sgschooling.com/img/logo/woodgrove.jpg,Woodlands,2 Woodlands Drive 14 S738079,738079,http://www.woodgrovepri.moe.edu.sg/,,false,false,false,false,,Woodgrove Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=woodgrove-primary-school
161,woodlands,Woodlands Primary School,https://sgschooling.com/img/logo/woodlands.jpg,Woodlands,10 Woodlands Drive 50 S738853,738853,http://www.woodlandspri.moe.edu.sg,,false,false,false,false,,Woodlands Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=woodlands-primary-school
162,woodlands-ring,Woodlands Ring Primary School,https://sgschooling.com/img/logo/woodlands-ring.jpg,Woodlands,11 Woodlands Ring Road S738240,738240,http://www.woodlandsringpri.moe.edu.sg,,false,false,false,false,,Woodlands Ring Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=woodlands-ring-primary-school
163,xinghua,Xinghua Primary School,https://sgschooling.com/img/logo/xinghua.jpg,Hougang,45 Hougang Avenue 1 S538882,538882,http://www.xinghuapri.moe.edu.sg,,false,false,false,false,,Xinghua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xinghua-primary-school
164,xingnan,Xingnan Primary School,https://sgschooling.com/img/logo/xingnan.jpg,Jurong West,5 Jurong West Street 91 S649036,649036,http://www.xingnanpri.moe.edu.sg,,false,false,false,false,,Xingnan Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xingnan-primary-school
165,xinmin,Xinmin Primary School,https://sgschooling.com/img/logo/xinmin.jpg,Hougang,9 Hougang Avenue 8 S538784,538784,https://xinminpri.moe.edu.sg/,,false,false,false,false,,Xinmin Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xinmin-primary-school
166,xishan,Xishan Primary School,https://sgschooling.com/img/logo/xishan.jpg,Yishun,8 Yishun Street 21 S768611,768611,https://www.xishanpri.moe.edu.sg/,,false,false,false,false,,Xishan Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xishan-primary-school
167,yangzheng,Yangzheng Primary School,https://sgschooling.com/img/logo/yangzheng.jpg,Serangoon,15 Serangoon Avenue 3 S556108,556108,http://www.yangzhengpri.moe.edu.sg/,,false,false,false,false,,Yangzheng Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yangzheng-primary-school
168,yew-tee,Yew Tee Primary School,https://sgschooling.com/img/logo/yew-tee.jpg,Choa Chu Kang,10 Choa Chu Kang St 64 S689100,689100,http://www.yewteepri.moe.edu.sg,,false,false,false,false,,Yew Tee Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yew-tee-primary-school
169,yio-chu-kang,Yio Chu Kang Primary School,https://sgschooling.com/img/logo/yio-chu-kang.jpg,Hougang,1 Hougang Street 51 S538720,538720,http://www.yiochukangpri.moe.edu.sg,,false,false,false,false,,Yio Chu Kang Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yio-chu-kang-primary-school
170,yishun,Yishun Primary School,https://sgschooling.com/img/logo/yishun.jpg,Yishun,500 Yishun Ring Road S768679,768679,http://www.yishunpri.moe.edu.sg,,false,false,false,false,,Yishun Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yishun-primary-school
171,yu-neng,Yu Neng Primary School,https://sgschooling.com/img/logo/yu-neng.jpg,Bedok,56 Bedok North St 3 S469623,469623,http://www.ynps.moe.edu.sg/,,false,false,false,false,,Yu Neng Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yu-neng-primary-school
172,yuhua,Yuhua Primary School,https://sgschooling.com/img/logo/yuhua.jpg,Jurong East,158 Jurong East Street 24 S609558,609558,http://www.yuhuapri.moe.edu.sg,,false,false,false,false,,Yuhua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yuhua-primary-school
173,yumin,Yumin Primary School,https://sgschooling.com/img/logo/yumin.jpg,Tampines,3 Tampines Street 21 S529393,529393,http://www.yuminpri.moe.edu.sg,,false,false,false,false,,Yumin Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yumin-primary-school
174,zhangde,Zhangde Primary School,https://sgschooling.com/img/logo/zhangde.jpg,Bukit Merah,51 Jalan Membina S169485,169485,http://www.zhangdepri.moe.edu.sg/,,false,false,false,false,,Zhangde Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=zhangde-primary-school
176,zhenghua,Zhenghua Primary School,https://sgschooling.com/img/logo/zhenghua.jpg,Bukit Panjang,9 Fajar Road S679002,679002,http://www.zhenghuapri.moe.edu.sg,,false,false,false,false,,Zhenghua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=zhenghua-primary-school
177,zhonghua,Zhonghua Primary School,https://sgschooling.com/img/logo/zhonghua.jpg,Serangoon,12 Serangoon Avenue 4 S556095,556095,http://www.zhonghuapri.moe.edu.sg,,false,false,false,false,,Zhonghua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=zhonghua-primary-school
