index,school_id,year,phase,applied,vacancy,ballot,odds
459,anchor-green,2010,2B,0,94,,1
460,anchor-green,2010,2C,117,188,,1
461,anchor-green,2010,2C(S),75,71,,0.946666666666667
462,anchor-green,2010,3,0,0,,
463,anchor-green,2010,Total,0,270,,1
464,anchor-green,2011,1,0,0,,
465,anchor-green,2011,2A(1),0,0,,
466,anchor-green,2011,2A(2),0,0,,
467,anchor-green,2011,2B,1,91,,1
468,anchor-green,2011,2C,141,181,,1
469,anchor-green,2011,2C(S),68,40,,0.588235294117647
470,anchor-green,2011,3,0,0,,
471,anchor-green,2011,Total,0,270,,1
472,anchor-green,2012,1,0,0,,
473,anchor-green,2012,2A(1),0,0,,
474,anchor-green,2012,2A(2),0,0,,
475,anchor-green,2012,2B,9,46,,1
476,anchor-green,2012,2C,93,82,,0.881720430107527
477,anchor-green,2012,2C(S),0,0,,
478,anchor-green,2012,3,0,0,,
479,anchor-green,2012,Total,0,210,,1
480,anchor-green,2013,1,0,0,,
481,anchor-green,2013,2A(1),0,0,,
482,anchor-green,2013,2A(2),0,0,,
483,anchor-green,2013,2B,3,41,,1
484,anchor-green,2013,2C,90,78,,0.866666666666667
485,anchor-green,2013,2C(S),0,0,,
486,anchor-green,2013,3,0,0,,
487,anchor-green,2013,Total,0,210,,1
488,anchor-green,2014,1,0,0,,
489,anchor-green,2014,2A(1),0,0,,
490,anchor-green,2014,2A(2),0,0,,
491,anchor-green,2014,2B,5,61,,1
492,anchor-green,2014,2C,121,118,,0.975206611570248
493,anchor-green,2014,2C(S),0,0,,
494,anchor-green,2014,3,0,0,,
495,anchor-green,2014,Total,0,240,,1
496,anchor-green,2015,1,0,0,,
497,anchor-green,2015,2A(1),0,0,,
498,anchor-green,2015,2A(2),0,0,,
499,anchor-green,2015,2B,12,82,,1
500,anchor-green,2015,2C,94,151,,1
501,anchor-green,2015,2C(S),45,57,,1
502,anchor-green,2015,3,0,12,,1
503,anchor-green,2015,Total,0,240,,1
504,anchor-green,2016,1,0,0,,
505,anchor-green,2016,2A(1),0,0,,
506,anchor-green,2016,2A(2),0,0,,
507,anchor-green,2016,2B,0,84,,1
508,anchor-green,2016,2C,93,168,,1
509,anchor-green,2016,2C(S),48,76,,1
510,anchor-green,2016,3,0,28,,1
511,anchor-green,2016,Total,0,240,,1
512,anchor-green,2017,1,0,0,,
513,anchor-green,2017,2A(1),0,0,,
514,anchor-green,2017,2A(2),0,0,,
515,anchor-green,2017,2B,1,71,,1
516,anchor-green,2017,2C,69,143,,1
517,anchor-green,2017,2C(S),53,74,,1
518,anchor-green,2017,3,0,21,,1
519,anchor-green,2017,Total,0,240,,1
520,anchor-green,2018,1,0,0,,
521,anchor-green,2018,2A(1),0,0,,
522,anchor-green,2018,2A(2),0,0,,
523,anchor-green,2018,2B,1,84,,1
524,anchor-green,2018,2C,69,169,,1
525,anchor-green,2018,2C(S),99,101,,1
526,anchor-green,2018,3,0,2,,1
527,anchor-green,2018,Total,0,270,,1
528,anchor-green,2019,1,84,200,,1
529,anchor-green,2019,2A(1),0,116,,1
530,anchor-green,2019,2A(2),6,116,,1
531,anchor-green,2019,2B,1,75,,1
532,anchor-green,2019,2C,66,151,,1
533,anchor-green,2019,2C(S),97,85,SC1-2,0.876288659793814
534,anchor-green,2019,3,0,0,,
535,anchor-green,2019,Total,0,240,,1
536,anchor-green,2020,1,108,200,,1
537,anchor-green,2020,2A(1),0,92,,1
538,anchor-green,2020,2A(2),31,92,,1
539,anchor-green,2020,2B,1,51,,1
540,anchor-green,2020,2C,62,101,,1
541,anchor-green,2020,2C(S),83,39,SC<1,0.469879518072289
542,anchor-green,2020,3,0,0,,
543,anchor-green,2020,Total,0,240,,1
544,anchor-green,2021,1,87,200,,1
545,anchor-green,2021,2A(1),0,113,,1
546,anchor-green,2021,2A(2),59,113,,1
547,anchor-green,2021,2B,0,48,,1
548,anchor-green,2021,2C,48,95,,1
549,anchor-green,2021,2C(S),77,47,SC<1,0.61038961038961
550,anchor-green,2021,3,0,0,,
551,anchor-green,2021,Total,0,240,,1
552,anchor-green,2022,1,75,180,,1
553,anchor-green,2022,2A(1),46,105,,1
554,anchor-green,2022,2A(2),0,0,,
555,anchor-green,2022,2B,0,40,,1
556,anchor-green,2022,2C,24,120,,1
557,anchor-green,2022,2C(S),108,96,SC1-2,0.888888888888889
558,anchor-green,2022,3,0,0,,
559,anchor-green,2022,Total,0,240,,1
560,anchor-green,2023,1,85,180,,1
561,anchor-green,2023,2A(1),30,95,,1
562,anchor-green,2023,2A(2),0,0,,
563,anchor-green,2023,2B,0,42,,1
564,anchor-green,2023,2C,36,128,,1
565,anchor-green,2023,2C(S),66,93,,1
566,anchor-green,2023,3,0,27,,1
567,anchor-green,2023,Total,0,240,,1
568,anderson,2009,1,0,0,,
569,anderson,2009,2A(1),0,0,,
570,anderson,2009,2A(2),0,0,,
571,anderson,2009,2B,25,57,,1
572,anderson,2009,2C,116,88,,0.758620689655172
573,anderson,2009,2C(S),0,0,,
574,anderson,2009,3,0,0,,
575,anderson,2009,Total,0,240,,1
576,anderson,2010,1,0,0,,
577,anderson,2010,2A(1),0,0,,
578,anderson,2010,2A(2),0,0,,
579,anderson,2010,2B,29,44,,1
580,anderson,2010,2C,95,60,,0.631578947368421
581,anderson,2010,2C(S),0,0,,
582,anderson,2010,3,0,0,,
583,anderson,2010,Total,0,210,,1
584,anderson,2011,1,0,0,,
585,anderson,2011,2A(1),0,0,,
586,anderson,2011,2A(2),0,0,,
587,anderson,2011,2B,31,32,,1
588,anderson,2011,2C,96,36,,0.375
589,anderson,2011,2C(S),0,0,,
590,anderson,2011,3,0,0,,
591,anderson,2011,Total,0,210,,1
592,anderson,2012,1,0,0,,
593,anderson,2012,2A(1),0,0,,
594,anderson,2012,2A(2),0,0,,
595,anderson,2012,2B,26,30,,1
596,anderson,2012,2C,67,34,,0.507462686567164
597,anderson,2012,2C(S),0,0,,
598,anderson,2012,3,0,0,,
599,anderson,2012,Total,0,210,,1
600,anderson,2013,1,0,0,,
601,anderson,2013,2A(1),0,0,,
602,anderson,2013,2A(2),0,0,,
603,anderson,2013,2B,24,33,,1
604,anderson,2013,2C,50,41,,0.82
605,anderson,2013,2C(S),0,0,,
606,anderson,2013,3,0,0,,
607,anderson,2013,Total,0,210,,1
608,anderson,2014,1,0,0,,
609,anderson,2014,2A(1),0,0,,
610,anderson,2014,2A(2),0,0,,
611,anderson,2014,2B,20,30,,1
612,anderson,2014,2C,56,42,,0.75
613,anderson,2014,2C(S),0,0,,
614,anderson,2014,3,0,0,,
615,anderson,2014,Total,0,210,,1
616,anderson,2015,1,0,0,,
617,anderson,2015,2A(1),0,0,,
618,anderson,2015,2A(2),0,0,,
